Image_Label,Image_Link,Species,User,Date,Time,Seconds,Place,Lat,Long,Hex_Color_Code,R1,G1,B1,RGB1,Prop1,R2,G2,B2,RGB2,Prop2,R3,G3,B3,RGB3,Prop3,Width,Height,Contour_Area,Aspect_Ratio,Extent,Solidity,Angle
p1,https://inaturalist-open-data.s3.amazonaws.com/photos/203921715/medium.jpg,,llhouse2,2022-05-25,12:07:21,43641,"Highview Dr, Blacksburg, VA, US",37.2463215678,-80.4095230661,"['#315315', '#1f400e', '#506d3a']",49.02021206096753,82.55715705765408,21.2188535453943,darkolivegreen,0.49775680513261583,31.463523929019537,64.3421760172074,14.13927227101631,darkgreen,0.45649596689834726,79.6448736998514,109.46656760772659,57.729569093610685,darkolivegreen,0.045747227969036935,254,242,42647.0,1.0495867768595042,0.6938081603435934,0.9190767639325891,105.93585968017578
p2,https://inaturalist-open-data.s3.amazonaws.com/photos/203921454/medium.jpg,Carolina sweetshrub,llhouse2,2022-05-25,12:09:03,43743,"Virginia, US",37.3504969752,-80.4847910049,"['#606d46', '#394f1c', '#3f1c16']",95.66843762298309,109.14738292011019,70.2748917748918,darkolivegreen,0.3943366284259596,56.50852794542114,79.01416950931514,28.310679611650478,darkolivegreen,0.32504049988428607,63.13107511045655,28.13048600883653,22.023269513991167,black,0.28062287168975436,374,345,60445.0,1.0840579710144929,0.46845694799658993,0.6568537958314317,46.177894592285156
p3,https://inaturalist-open-data.s3.amazonaws.com/photos/203921258/medium.jpg,,llhouse2,2022-05-25,12:10:21,43821,"Highview Dr, Blacksburg, VA, US",37.2461629761,-80.4092512154,"['#213625', '#2d412e', '#60706d']",32.800978323422214,53.636054095530405,36.913389602915814,darkslategray,0.803774995327976,44.857210068219246,65.34932956951307,45.8040461067984,darkslategray,0.17720986731452065,95.67002012072433,112.16700201207243,109.28370221327967,dimgray,0.01901513735750327,295,119,21082.0,2.4789915966386555,0.6005412334425295,0.8983105013102669,89.91668701171875
p4,https://inaturalist-open-data.s3.amazonaws.com/photos/200512952/medium.jpg,,llhouse2,2022-05-25,12:10:37,43837,"Highview Dr, Blacksburg, VA, US",37.2463788487,-80.4095616039,"['#313221', '#4c4a32', '#747979']",49.4470741455966,50.314770736965016,32.74877621592492,darkslategray,0.5091431162158078,76.46225016612998,73.8459847671625,50.369933036855286,darkolivegreen,0.46133696035464206,116.30305602716463,121.09677419354834,120.67147707979626,gray,0.02951992342955015,267,152,19528.5,1.756578947368421,0.4811871673565937,0.741386837759344,83.74250793457031
p5,https://inaturalist-open-data.s3.amazonaws.com/photos/203921893/medium.jpg,,llhouse2,2022-06-03,10:48:19,38899,Princeton University,             40.343137,             74.655070,"['#7d88a3', '#717b8b', '#334521']",125.4753499059954,136.40986003760182,162.51274284520576,lightslategray,0.5735933948336601,113.06451612903226,123.12674070156885,138.74792878547507,slategray,0.3529030393451074,50.830255057167996,69.12576956904134,33.01846965699209,darkslategray,0.07350356582123245,499,458,126945.5,1.0895196506550218,0.5554580777275074,0.7743199680379641,63.34011459350586
p6,https://inaturalist-open-data.s3.amazonaws.com/photos/203922113/medium.jpg,,llhouse2,2022-06-03,10:41:30,38490,Princeton University,             40.343137,             74.655070,"['#394b36', '#31422e', '#475a44']",57.087951881175975,74.74792855827656,53.869637267538195,darkslategray,0.4804030662710188,48.59151132337083,66.0266522877831,45.97257741488216,darkslategray,0.38853857566765576,71.14810715076379,89.55235775957495,67.6444542838167,darkslategray,0.13105835806132543,132,236,15944.5,0.559322033898305,0.5118290960451978,0.961902750965251,3.063427686691284
p7,https://inaturalist-open-data.s3.amazonaws.com/photos/204636303/medium.jpeg,Moosewood,llhouse2,2022-06-09,10:10:02,36602,"Jefferson National Forest, Virginia 24134, USA",37.2504015,-80.6664537,"['#3f6416', '#2f540b', '#59792c']",63.04326856827891,99.53617197188922,21.677277111754165,darkolivegreen,0.48447352915366004,46.58006564173432,83.87320780791157,11.268612886508897,darkgreen,0.38100969072423435,88.8539325842697,120.80207433016425,43.50777873811582,darkolivegreen,0.13451678012210563,362,453,80554.5,0.7991169977924945,0.4912279096996085,0.7763765336314659,127.713134765625
p8,https://inaturalist-open-data.s3.amazonaws.com/photos/204636318/medium.jpeg,American Chestnut,llhouse2,2022-06-09,10:10:00,36600,"Giles County, VA, USA",37.2496022353,-80.666705434,"['#20460c', '#466727', '#aab2a0']",31.612992398064947,69.65643982104531,11.797748517804536,darkgreen,0.7984655756824726,70.05961556319063,102.65344971677962,38.72485838982262,darkolivegreen,0.17326967234027044,169.59978130125748,178.4455986878075,160.4784034991799,darkgray,0.02826475197725699,368,392,54472.0,0.9387755102040817,0.3776064773735581,0.6177539621785603,29.49881362915039
p9,https://inaturalist-open-data.s3.amazonaws.com/photos/204636336/medium.jpeg,American chestnut,llhouse2,2022-06-09,10:10:00,36600,"Giles County, VA, USA",37.2485728184,-80.6674836683,"['#173d08', '#335611', '#597536']",23.152685631191492,61.37662455693903,7.903889848223215,darkgreen,0.6865032403493943,51.075077303648726,86.33160173160174,16.506246134817562,darkolivegreen,0.23944773175542405,89.36197235711617,116.88233096750093,53.511019798281694,darkolivegreen,0.07404902789518174,126,353,17808.0,0.35694050991501414,0.4003777148253069,0.8890220158753931,179.0602264404297
p10,https://inaturalist-open-data.s3.amazonaws.com/photos/204636355/medium.jpeg,black oak,llhouse2,2022-06-09,10:10:00,36600,"Jefferson National Forest, Virginia 24134, USA",37.2504015,-80.6664537,"['#4d5d2f', '#384918', '#7c846c']",76.56441309555495,93.39756898234407,46.90058557359595,darkolivegreen,0.4761562374436949,56.091725810798664,73.14553948432301,23.64239511274819,darkolivegreen,0.4761139425212003,123.60086956521735,132.02260869565217,108.27043478260869,gray,0.047729820035104786,322,296,46800.0,1.087837837837838,0.49101896927983885,0.7538720511602058,87.69241333007812
p11,https://inaturalist-open-data.s3.amazonaws.com/photos/204636374/medium.jpeg,Oak,llhouse2,2022-06-09,10:10:00,36600,"Jefferson National Forest, Virginia 24134, USA",37.2504015,-80.6664537,"['#33411b', '#47532c', '#727a68']",51.28143447461629,64.5706906729634,27.195838252656433,darkslategray,0.53710499490316,70.84965034965035,83.48659673659672,44.28418803418804,darkolivegreen,0.43302752293577984,114.10439560439559,122.1346153846154,104.08241758241759,dimgray,0.02986748216106014,137,206,9634.0,0.6650485436893204,0.3413648926369499,0.9440007838910391,179.17535400390625
p12,https://inaturalist-open-data.s3.amazonaws.com/photos/204636390/medium.jpeg,Oak,llhouse2,2022-06-09,10:11:00,36660,"Jefferson National Forest, Virginia 24134, USA",37.2504015,-80.6664537,"['#213c0f', '#354e1b', '#738072']",32.74457574951552,60.06125318235362,14.51666223353725,darkgreen,0.6012173718212032,52.78969613890794,78.43528672606809,27.131825451222305,darkolivegreen,0.37092497852795103,115.14216084484158,128.15109666937448,113.52396425670182,gray,0.027857649650845813,179,261,26603.0,0.685823754789272,0.5694257154476765,0.8941433492983782,177.54052734375
p13,https://inaturalist-open-data.s3.amazonaws.com/photos/204639334/medium.jpeg,Sassafras,llhouse2,2022-06-09,10:23:00,37380,Princeton University,             40.343137,             74.655070,"['#1d3e09', '#2d4b14', '#6b7b60']",28.927105702696252,61.76330231448342,8.618110236220472,darkgreen,0.6742504643141417,45.46111751152075,75.0910138248848,20.262096774193548,darkgreen,0.29205359511806844,106.69124423963132,122.81566820276498,95.74884792626726,dimgray,0.033695940567789864,163,217,15060.5,0.7511520737327189,0.4257866613892737,0.7597871052366058,1.601779818534851
p14,https://inaturalist-open-data.s3.amazonaws.com/photos/205799198/medium.jpeg,striped maple,llhouse2,2022-06-09,10:32:00,37920,"Blacksburg, VA, USA",37.2295733,-80.4139393,"['#26460c', '#43621a', '#657d41']",38.11695080899119,69.67683787599088,12.358019328917363,darkgreen,0.6364277170198223,67.06500593119809,98.0332147093713,26.062870699881376,darkolivegreen,0.3016917293233083,101.42763157894734,125.34978070175434,65.10197368421052,darkolivegreen,0.061880553656869446,236,458,47232.5,0.5152838427947598,0.43698190363407596,0.7729284796714041,166.9147491455078
